district_name,ref_district_id,state_name,ref_state_id,cattle,buffalo,sheep,goat,horse,pony,mule,donkey,camel,pig,Total_poultry
Baghpat,139,Uttar Pradesh,9,145930,316815,2178,16948,1262,173,112,112,111,3580,73995
Ghaziabad,140,Uttar Pradesh,9,100200,213720,914,17397,577,38,85,142,12,2583,159515
Gautam Buddha Nagar,141,Uttar Pradesh,9,90867,264982,1220,18114,540,0,52,91,2,3012,91657
Bulandshahr,142,Uttar Pradesh,9,304321,972027,3793,127975,1807,1549,274,275,1,6332,34890
Aligarh,143,Uttar Pradesh,9,311298,942498,9974,136507,1755,16,814,128,35,6262,210949
Hathras,144,Uttar Pradesh,9,124447,417778,3985,84215,872,45,522,201,95,5274,78121
Mathura,145,Uttar Pradesh,9,214236,576556,24099,64681,1040,87,131,468,252,11360,12612
Agra,146,Uttar Pradesh,9,282788,1066798,18578,147937,1190,109,101,1189,424,14029,91453
Firozabad,147,Uttar Pradesh,9,164313,645558,6584,182510,531,12,152,285,161,6135,37831
Mainpuri,148,Uttar Pradesh,9,139639,592912,10754,266679,808,36,26,168,26,4343,41666
Budaun,149,Uttar Pradesh,9,279790,1107170,12837,176402,3228,73,70,78,4,8327,261876
Bareilly,150,Uttar Pradesh,9,234979,707609,3097,130533,4376,17,51,118,8,4695,175359
Pilibhit,151,Uttar Pradesh,9,160287,220378,603,46890,1152,0,0,16,1,3009,23760
Shahjahanpur,152,Uttar Pradesh,9,261143,605387,3005,113702,1901,5,0,24,5,4545,90381
Kheri,153,Uttar Pradesh,9,468608,836358,18664,486491,1637,58,12,25,0,4645,554985
Sitapur,154,Uttar Pradesh,9,470731,683373,4660,468528,571,26,56,46,3,3862,285081
Hardoi,155,Uttar Pradesh,9,419996,834750,17261,378278,2609,33,33,148,5,11540,71207
Unnao,156,Uttar Pradesh,9,324185,656492,14209,320399,984,7,37,96,2,6917,39660
Lucknow,157,Uttar Pradesh,9,214346,286650,805,160719,441,1,202,97,28,3576,89021
Rae Bareli,158,Uttar Pradesh,9,391858,463692,12060,277338,2231,195,59,24,0,22843,60257
Farrukhabad,159,Uttar Pradesh,9,114665,443701,7880,119358,851,85,17,105,181,3050,8593
Kannauj,160,Uttar Pradesh,9,234517,430954,8209,152089,394,13,213,72,9,1576,3563
Etawah,161,Uttar Pradesh,9,104777,383819,5116,243429,147,18,71,103,305,4029,61157
Auraiya,162,Uttar Pradesh,9,113174,376898,10151,258416,267,0,87,190,2,4414,32121
Kanpur Dehat,163,Uttar Pradesh,9,181231,602713,14243,420847,104,9,10,8,2,1970,24450
Kanpur Nagar,164,Uttar Pradesh,9,175266,494045,8616,292141,323,382,159,52,21,7464,564501
Jalaun,165,Uttar Pradesh,9,204198,357697,25462,322607,454,59,93,302,11,3543,12462
Jhansi,166,Uttar Pradesh,9,226789,306551,42297,260396,343,7,33,209,2,4002,27154
Lalitpur,167,Uttar Pradesh,9,364514,291743,3590,180189,132,1,9,6,2,521,23435
Hamirpur,168,Uttar Pradesh,9,141151,238510,12503,299330,450,7,55,234,2,3269,27505
Mahoba,169,Uttar Pradesh,9,138969,137867,14025,206066,232,0,253,78,0,5336,22039
Banda,170,Uttar Pradesh,9,255495,423768,9702,281392,723,101,442,404,38,5409,18488
Chitrakoot,171,Uttar Pradesh,9,267740,251688,19683,175973,286,125,23,255,18,4470,83176
Fatehpur,172,Uttar Pradesh,9,162813,647503,88677,438167,1770,31,158,268,7,12249,452302
Pratapgarh,173,Uttar Pradesh,9,604203,596075,9372,340666,2061,14,16,89,37,13192,122829
Kaushambi,174,Uttar Pradesh,9,176495,364403,20565,312771,1915,290,23,180,73,16312,48028
Allahabad,175,Uttar Pradesh,9,560456,817058,121374,261053,1661,60,151,75,227,13871,276347
Barabanki,176,Uttar Pradesh,9,324762,508830,400,229206,1241,29,48,60,3,5646,876003
Faizabad,177,Uttar Pradesh,9,274526,348161,8499,189303,375,8,50,25,0,4505,519963
Ambedkar Nagar,178,Uttar Pradesh,9,262839,343283,9410,164844,205,2,15,82,8,1487,266404
Sultanpur,179,Uttar Pradesh,9,359706,318785,20102,195700,467,19,144,37,44,2311,71997
Bahraich,180,Uttar Pradesh,9,343265,424265,15488,581585,1621,11,123,79,0,5126,176047
Shravasti,181,Uttar Pradesh,9,160042,174379,3110,111488,295,139,17,8,0,2598,11446
Balrampur,182,Uttar Pradesh,9,197746,226303,9136,270790,394,126,113,100,1,5301,101015
Gonda,183,Uttar Pradesh,9,378420,438171,14839,290621,564,40,528,34,1,6621,178460
Siddharth Nagar,184,Uttar Pradesh,9,97064,182952,4010,284526,90,5,83,4,0,1558,26601
Basti,185,Uttar Pradesh,9,125703,343799,8135,152497,70,9,1,9,8,455,59826
Sant Kabeer Nagar,186,Uttar Pradesh,9,84008,144691,2940,143081,208,21,0,0,6,1015,89727
Maharajganj,187,Uttar Pradesh,9,69102,180630,1870,252829,255,39,17,14,4,4435,78913
Gorakhpur,188,Uttar Pradesh,9,287431,253190,8601,173017,469,741,116,157,1,4507,367832
Kushi Nagar,189,Uttar Pradesh,9,165224,170194,1084,297917,515,22,217,15,1,3680,403843
Deoria,190,Uttar Pradesh,9,287843,190894,2198,255563,236,46,82,614,0,2006,216289
Azamgarh,191,Uttar Pradesh,9,460458,477563,10885,299653,139,15,128,318,4,6081,909676
Mau,192,Uttar Pradesh,9,173304,192711,3205,171962,140,35,302,834,5,3648,129400
Ballia,193,Uttar Pradesh,9,434902,249786,18560,157490,1125,206,795,3106,65,6762,156693
Jaunpur,194,Uttar Pradesh,9,536940,584454,27321,276543,126,20,13,110,7,9345,104083
Ghazipur,195,Uttar Pradesh,9,386272,505965,19171,151400,233,66,140,1038,0,2732,72684
Chandauli,196,Uttar Pradesh,9,338393,323117,17087,89091,104,90,112,292,6,3907,276404
Varanasi,197,Uttar Pradesh,9,306849,243685,9665,124528,48,4,109,55,3,1557,121652
Sant Ravidas Nagar,198,Uttar Pradesh,9,212465,156603,22209,47738,35,0,0,29,0,1064,30495
Mirzapur,199,Uttar Pradesh,9,511188,287582,71717,126877,342,30,113,1784,26,4869,265251
Sonbhadra,200,Uttar Pradesh,9,550069,148632,22718,240083,20,11,3,26,4,2226,153025
Etah,201,Uttar Pradesh,9,90184,593550,2200,98507,412,21,121,95,2,3319,37439
Kasganj,202,Uttar Pradesh,9,79666,527709,5629,84550,783,4,68,85,8,2045,5892
Amethi,663,Uttar Pradesh,9,315654,342664,8094,214207,1211,31,26,44,11,10855,673731
Hapur,672,Uttar Pradesh,9,102115,246786,959,30690,782,5,61,51,0,4686,11239
Sambhal,680,Uttar Pradesh,9,174913,710993,2040,84709,1751,93,34,41,3,3261,26848
Shamli,682,Uttar Pradesh,9,117891,253286,2842,21559,1310,23,121,36,12,5121,296426
Darjeeling,327,West Bengal,19,203881,6992,969,164834,123,72,1,32,0,57166,848610
Jalpaiguri,328,West Bengal,19,727592,5381,8169,512322,6,0,0,0,0,36680,1290753
Coochbehar,329,West Bengal,19,1226670,6397,63824,486974,173,23,0,2,0,7372,1917542
Dinajpur Uttar,330,West Bengal,19,1091590,12384,1521,885282,14,0,0,0,0,25809,2597607
Dinajpur Dakshin,331,West Bengal,19,532056,1920,6295,598137,6,0,0,3,0,41055,1880668
Maldah,332,West Bengal,19,1038763,38439,32919,1376487,53,7,0,8,0,70969,2982438
Murshidabad,333,West Bengal,19,1199817,66783,51415,1751276,274,14,3,6,34,8236,4864786
Birbhum,334,West Bengal,19,1185333,94938,159206,1168796,21,0,1,0,0,38374,4614872
Bardhaman,335,West Bengal,19,1532669,58942,135965,1370985,66,177,0,3,0,21327,7508347
Nadia,336,West Bengal,19,816780,17157,24669,924339,95,15,4,4,0,4923,3389479
24 Paraganas North,337,West Bengal,19,697601,34443,34356,780001,31,0,0,0,0,7241,6596548
Hooghly,338,West Bengal,19,912745,35229,1655,886410,8,3,0,0,0,16671,3597064
Bankura,339,West Bengal,19,1491831,64427,71889,1064468,36,3,0,3,9,20648,5372542
Purulia,340,West Bengal,19,915274,77650,186925,966681,14,0,0,5,0,30510,4101529
Howrah,341,West Bengal,19,226388,5724,237,157017,2,1,0,1,0,362,1376937
Kolkata,342,West Bengal,19,1003,459,93,3625,0,0,0,1,0,335,29728
24 Paraganas South,343,West Bengal,19,1019495,11709,82258,791587,266,5,16,1,0,7348,9271700
Medinipur West,344,West Bengal,19,1758443,37649,18172,872869,20,8,0,12,0,25438,5222355
Medinipur East,345,West Bengal,19,1093499,263,5948,475230,17,0,1,12,0,1891,4295172
Alipurduar,662,West Bengal,19,520443,2209,7476,281764,10,3,0,0,2,58991,1307902
PASCHIM BARDHAMAN,830,West Bengal,19,273637,22682,6498,256143,0,18,0,1,0,16635,653934
KALIMPONG,831,West Bengal,19,48915,129,82,64109,7,0,0,0,0,13208,321093
Jhargram,832,West Bengal,19,563491,29015,52345,440004,2,0,0,0,0,29167,3280996
